TimeStamp,Time,Sdur,Sdur_accum_der,Sb
UTC,hhmm,sec,h,W/m^2
20140925,1400,1697,4.3,9999.9
20140925,1500,3347,5.2,9999.9
20140925,1600,461,5.3,9999.9
20140925,1700,0,5.3,9999.9
20140925,1800,0,5.3,9999.9
20140925,1900,0,5.3,9999.9
20140925,2000,0,5.3,9999.9
20140925,2100,0,5.3,9999.9
20140925,2200,0,5.3,9999.9
20140925,2300,0,5.3,9999.9
20140925,2400,0,5.3,9999.9
20140926,0100,0,0.0,9999.9
20140926,0200,0,0.0,9999.9
20140926,0300,0,0.0,9999.9
20140926,0400,0,0.0,9999.9
20140926,0500,0,0.0,9999.9
20140926,0600,0,0.0,9999.9
20140926,0700,0,0.0,9999.9
20140926,0800,0,0.0,9999.9
20140926,0900,400,0.1,9999.9
20140926,1000,1420,0.5,9999.9
20140926,1100,1245,0.9,9999.9
20140926,1200,920,1.1,9999.9
20140926,1300,583,1.3,9999.9
20140926,1400,1589,1.7,9999.9
20140926,1500,1812,2.2,9999.9
20140926,1600,2194,2.8,9999.9
20140926,1700,146,2.9,9999.9
20140926,1800,412,3.0,9999.9
20140926,1900,0,3.0,9999.9
20140926,2000,0,3.0,9999.9
20140926,2100,0,3.0,9999.9
20140926,2200,0,3.0,9999.9
20140926,2300,0,3.0,9999.9
20140926,2400,0,3.0,9999.9
20140927,0100,0,0.0,9999.9
20140927,0200,0,0.0,9999.9
20140927,0300,0,0.0,9999.9
20140927,0400,0,0.0,9999.9
20140927,0500,0,0.0,9999.9
20140927,0600,0,0.0,9999.9
20140927,0700,0,0.0,9999.9
20140927,0800,0,0.0,9999.9
20140927,0900,0,0.0,9999.9
20140927,1000,0,0.0,9999.9
20140927,1100,1323,0.4,9999.9
20140927,1200,3600,1.4,9999.9
20140927,1300,1517,1.8,9999.9
20140927,1400,2291,2.4,9999.9
20140927,1500,0,2.4,9999.9
20140927,1600,443,2.5,9999.9
20140927,1700,0,2.5,9999.9
20140927,1800,0,2.5,9999.9
20140927,1900,0,2.5,9999.9
20140927,2000,0,2.5,9999.9
20140927,2100,0,2.5,9999.9
20140927,2200,0,2.5,9999.9
20140927,2300,0,2.5,9999.9
20140927,2400,0,2.5,9999.9
20140928,0100,0,0.0,9999.9
20140928,0200,0,0.0,9999.9
20140928,0300,0,0.0,9999.9
20140928,0400,0,0.0,9999.9
20140928,0500,0,0.0,9999.9
20140928,0600,0,0.0,9999.9
20140928,0700,544,0.2,9999.9
20140928,0800,3562,1.1,9999.9
20140928,0900,3600,2.1,9999.9
